district_code,dog_breed,dog_breed_group,dog_count,population,population_density,area_km2,avg_age,dog_size,adaptability,dog_density
90100,Afghan Hound,Hound Dogs,6,16.29,5678.38,2.87,49.2,Very Large,4.0,0.37
90100,Australian Shepherd,Herding Dogs,1,16.29,5678.38,2.87,49.2,Very Large,2.8,0.06
90100,American Water Spaniel,Sporting Dogs,5,16.29,5678.38,2.87,49.2,Large,2.4,0.31
90100,American Pit Bull Terrier,Terrier Dogs,2,16.29,5678.38,2.87,49.2,Very Large,2.4,0.12
90100,American Staffordshire Terrier,Terrier Dogs,21,16.29,5678.38,2.87,49.2,Very Large,2.2,1.29
90100,Australian Shepherd,Herding Dogs,13,16.29,5678.38,2.87,49.2,Very Large,2.8,0.8
90100,Australian Terrier,Terrier Dogs,6,16.29,5678.38,2.87,49.2,Medium,3.0,0.37
90100,Basset Hound,Hound Dogs,4,16.29,5678.38,2.87,49.2,Very Large,3.6,0.25
90100,Deutscher Wachtelhund,Sporting Dogs,5,16.29,5678.38,2.87,49.2,Very Large,2.8,0.31
90100,Beagle,Hound Dogs,50,16.29,5678.38,2.87,49.2,Medium,2.8,3.07
90100,Bearded Collie,Herding Dogs,4,16.29,5678.38,2.87,49.2,Very Large,3.4,0.25
90100,Beaglier,Mixed Breed Dogs,5,16.29,5678.38,2.87,49.2,Medium,3.2,0.31
90100,Berger Picard,Herding Dogs,6,16.29,5678.38,2.87,49.2,Very Large,3.8,0.37
90100,Appenzeller Sennenhunde,Herding Dogs,8,16.29,5678.38,2.87,49.2,Very Large,2.6,0.49
90100,Harrier,Hound Dogs,6,16.29,5678.38,2.87,49.2,Very Large,2.4,0.37
90100,Bichon Frise,Companion Dogs,6,16.29,5678.38,2.87,49.2,Small,3.8,0.37
90100,Bolognese,Companion Dogs,18,16.29,5678.38,2.87,49.2,Small,3.4,1.1
90100,Border Collie,Herding Dogs,30,16.29,5678.38,2.87,49.2,Large,2.8,1.84
90100,German Wirehaired Pointer,Sporting Dogs,5,16.29,5678.38,2.87,49.2,Very Large,2.8,0.31
90100,Boston Terrier,Companion Dogs,12,16.29,5678.38,2.87,49.2,Medium,4.0,0.74
90100,Boxer,Working Dogs,30,16.29,5678.38,2.87,49.2,Very Large,2.8,1.84
90100,Greyhound,Hound Dogs,10,16.29,5678.38,2.87,49.2,Very Large,2.6,0.61
90100,Bulldog,Companion Dogs,8,16.29,5678.38,2.87,49.2,Very Large,3.4,0.49
90100,Bull Terrier,Terrier Dogs,14,16.29,5678.38,2.87,49.2,Very Large,3.0,0.86
90100,Cairn Terrier,Terrier Dogs,12,16.29,5678.38,2.87,49.2,Medium,3.4,0.74
90100,Coton de Tulear,Companion Dogs,8,16.29,5678.38,2.87,49.2,Small,3.6,0.49
90100,Cavalier King Charles Spaniel,Companion Dogs,17,16.29,5678.38,2.87,49.2,Medium,3.8,1.04
90100,Chihuahua,Companion Dogs,64,16.29,5678.38,2.87,49.2,Very Small,3.2,3.93
90100,Chihuahua,Companion Dogs,7,16.29,5678.38,2.87,49.2,Very Small,3.2,0.43
90100,Chinese Crested,Companion Dogs,5,16.29,5678.38,2.87,49.2,Medium,3.0,0.31
90100,Chow Chow,Working Dogs,8,16.29,5678.38,2.87,49.2,Very Large,3.4,0.49
90100,Cocker Spaniel,Sporting Dogs,4,16.29,5678.38,2.87,49.2,Large,3.6,0.25
90100,Cockapoo,Hybrid Dogs,10,16.29,5678.38,2.87,49.2,Medium,4.0,0.61
90100,Collie,Herding Dogs,13,16.29,5678.38,2.87,49.2,Very Large,3.6,0.8
90100,Dachshund,Hound Dogs,77,16.29,5678.38,2.87,49.2,Medium,3.4,4.73
90100,Dalmatian,Companion Dogs,4,16.29,5678.38,2.87,49.2,Very Large,3.0,0.25
90100,German Shepherd Dog,Herding Dogs,8,16.29,5678.38,2.87,49.2,Very Large,3.2,0.49
90100,Rat Terrier,Terrier Dogs,6,16.29,5678.38,2.87,49.2,Medium,3.2,0.37
90100,German Pinscher,Working Dogs,2,16.29,5678.38,2.87,49.2,Large,3.2,0.12
90100,German Pinscher,Working Dogs,59,16.29,5678.38,2.87,49.2,Large,3.2,3.62
90100,Goberian,Mixed Breed Dogs,3,16.29,5678.38,2.87,49.2,Very Large,2.6,0.18
90100,Dogo Argentino,Sporting Dogs,15,16.29,5678.38,2.87,49.2,Very Large,1.8,0.92
